Current NK1,Data Type,Setting Type Name,Data Type,Description,Valid Values,Default Value,Company,Category Tags,Is Password
ASIHelpService,Character,ASIHelpService,Character,ASI Help Service URL,-WSDL 'http:\\34.203.15.64/asihelpServices/helpmaintenance.asmx?WSDL',-WSDL 'http:\\34.203.15.64/asihelpServices/helpmaintenance.asmx?WSDL',No,MainMenu,No
BitMap,Description,MainMenuImage,Character,Main Menu Default Image,,,Yes,MainMenu,No
DynTaskTicker,Logical,DynTaskTicker,Logical,Dynamic Task Ticker Active,YES|NO,NO,No,MainMenu|dAOA,No
DynTaskTicker,Integer,DynTaskTickerMinutes,Integer,Dynamic Task Ticker Minutes,,0,No,MainMenu|dAOA,No
MenuLink1,Logical,MenuLink1,Logical,Menu Line #1 Active,YES|NO,NO,Yes,MainMenu,No
MenuLink1,Character,MenuLink1Image,Character,Menu Line #1 Image,,,Yes,MainMenu,No
MenuLink1,Integer,MenuLink1Transparent,Logical,Menu Line #1 Transparent Attribute,YES|NO,NO,Yes,MainMenu,No
MenuLink1,Integer,MenuLink1StretchToFit,Logical,Menu Line #1 Stretch To Fit Attribute,YES|NO,NO,Yes,MainMenu,No
MenuLink1,Description,MenuLink1URL,Character,Menu Line #1 URL,,,Yes,MainMenu,No
MenuLink2,Logical,MenuLink2,Logical,Menu Line #2 Active,YES|NO,NO,Yes,MainMenu,No
MenuLink2,Character,MenuLink2Image,Character,Menu Line #2 Image,,,Yes,MainMenu,No
MenuLink2,Integer,MenuLink2Transparent,Logical,Menu Line #2 Transparent Attribute,YES|NO,NO,Yes,MainMenu,No
MenuLink2,Integer,MenuLink2StretchToFit,Logical,Menu Line #2 Stretch To Fit Attribute,YES|NO,NO,Yes,MainMenu,No
MenuLink2,Description,MenuLink2URL,Character,Menu Line #2 URL,,,Yes,MainMenu,No
MenuLink3,Logical,MenuLink3,Logical,Menu Line #3 Active,YES|NO,NO,Yes,MainMenu,No
MenuLink3,Character,MenuLink3Image,Character,Menu Line #3 Image,,,Yes,MainMenu,No
MenuLink3,Integer,MenuLink3Transparent,Logical,Menu Line #3 Transparent Attribute,YES|NO,NO,Yes,MainMenu,No
MenuLink3,Integer,MenuLink3StretchToFit,Logical,Menu Line #3 Stretch To Fit Attribute,YES|NO,NO,Yes,MainMenu,No
MenuLink3,Description,MenuLink3URL,Character,Menu Line #3 URL,,,Yes,MainMenu,No
MenuLink4,Logical,MenuLink4,Logical,Menu Line #4 Active,YES|NO,NO,Yes,MainMenu,No
MenuLink4,Character,MenuLink4Image,Character,Menu Line #4 Image,,,Yes,MainMenu,No
MenuLink4,Integer,MenuLink4Transparent,Logical,Menu Line #4 Transparent Attribute,YES|NO,NO,Yes,MainMenu,No
MenuLink4,Integer,MenuLink4StretchToFit,Logical,Menu Line #4 Stretch To Fit Attribute,YES|NO,NO,Yes,MainMenu,No
MenuLink4,Description,MenuLink4URL,Character,Menu Line #4 URL,,,Yes,MainMenu,No
MenuLink5,Logical,MenuLink5,Logical,Menu Line #5 Active,YES|NO,NO,Yes,MainMenu,No
MenuLink5,Character,MenuLink5Image,Character,Menu Line #5 Image,,,Yes,MainMenu,No
MenuLink5,Integer,MenuLink5Transparent,Logical,Menu Line #5 Transparent Attribute,YES|NO,NO,Yes,MainMenu,No
MenuLink5,Integer,MenuLink5StretchToFit,Logical,Menu Line #5 Stretch To Fit Attribute,YES|NO,NO,Yes,MainMenu,No
MenuLink5,Description,MenuLink5URL,Character,Menu Line #5 URL,,,Yes,MainMenu,No
MenuLink6,Logical,MenuLink6,Logical,Menu Line #6 Active,YES|NO,NO,Yes,MainMenu,No
MenuLink6,Character,MenuLink6Image,Character,Menu Line #6 Image,,,Yes,MainMenu,No
MenuLink6,Integer,MenuLink6Transparent,Logical,Menu Line #6 Transparent Attribute,YES|NO,NO,Yes,MainMenu,No
MenuLink6,Integer,MenuLink6StretchToFit,Logical,Menu Line #6 Stretch To Fit Attribute,YES|NO,NO,Yes,MainMenu,No
MenuLink6,Description,MenuLink6URL,Character,Menu Line #6 URL,,,Yes,MainMenu,No
MenuLink7,Logical,MenuLink7,Logical,Menu Line #7 Active,YES|NO,NO,Yes,MainMenu,No
MenuLink7,Character,MenuLink7Image,Character,Menu Line #7 Image,,,Yes,MainMenu,No
MenuLink7,Integer,MenuLink7Transparent,Logical,Menu Line #7 Transparent Attribute,YES|NO,NO,Yes,MainMenu,No
MenuLink7,Integer,MenuLink7StretchToFit,Logical,Menu Line #7 Stretch To Fit Attribute,YES|NO,NO,Yes,MainMenu,No
MenuLink7,Description,MenuLink7URL,Character,Menu Line #7 URL,,,Yes,MainMenu,No
MenuLink8,Logical,MenuLink8,Logical,Menu Line #8 Active,YES|NO,NO,Yes,MainMenu,No
MenuLink8,Character,MenuLink8Image,Character,Menu Line #8 Image,,,Yes,MainMenu,No
MenuLink8,Integer,MenuLink8Transparent,Logical,Menu Line #8 Transparent Attribute,YES|NO,NO,Yes,MainMenu,No
MenuLink8,Integer,MenuLink8StretchToFit,Logical,Menu Line #8 Stretch To Fit Attribute,YES|NO,NO,Yes,MainMenu,No
MenuLink8,Description,MenuLink8URL,Character,Menu Line #8 URL,,,Yes,MainMenu,No
MenuLinkASI,Logical,MenuLinkASI,Logical,Main Menu ASI Active,YES|NO,YES,No,MainMenu,No
MenuLinkASI,Character,MenuLinkASIImage,Character,Main Menu ASI Image,Graphics\asiicon.ico,Graphics\asiicon.ico,No,MainMenu,No
MenuLinkASI,Integer,MenuLinkASITransparent,Logical,Main Menu ASI Transparent Attribute,YES|NO,YES,No,MainMenu,No
MenuLinkASI,Description,MenuLinkASIURL,Character,Main Menu ASI URL,http://www.advantzware.com,http://www.advantzware.com,No,MainMenu,No
MenuLinkUpgrade,Description,MenuLinkUpgrade,Character,Menu Link Upgrade URL,https://helpsvr.advantzware.com/patches/asiUpdate.html,https://helpsvr.advantzware.com/patches/asiUpdate.html,No,MainMenu,No
MenuLinkZoHo,Logical,MenuLinkZoHo,Logical,Main Menu Link to ASI ZoHo Active,YES|NO,YES,No,MainMenu,No
MenuLinkZoHo,Character,MenuLinkZoHoImage,Character,Main Menu Link to ASI ZoHo Image,Graphics\32x32\question.ico,Graphics\32x32\question.ico,No,MainMenu,No
MenuLinkZoHo,Integer,MenuLinkZoHoTransparent,Logical,Main Menu Link to ASI ZoHo Transparent Attribute,YES|NO,YES,No,MainMenu,No
MenuLinkZoHo,Description,MenuLinkZoHoURL,Character,Main Menu Link to ASI ZoHo URL,https://desk.zoho.com/portal/advantzware/signin,https://desk.zoho.com/portal/advantzware/signin,No,MainMenu,No
TaskerNotRunning,Logical,TaskerNotRunning,Logical,Tasker Not Running Active,YES|NO,NO,No,MainMenu|dAOA,No
TaskerNotRunning,Integer,TaskerNotRunningEmailID,Integer,Tasker Not Running Email Configuration ID,,0,No,MainMenu|dAOA,No
TaskerNotRunning,Decimal,TaskerNotRunningTimeLimit,Integer,Tasker Not Running Time Limit,,0,No,MainMenu|dAOA,No
VertexAccessToken,Logical,Vertex,Logical,Vertex Active,YES|NO,NO,Yes,Vertex,No
VertexAccessToken,Date,VertexAccessTokenDate,Date,Vertex API Access Token Date,,,Yes,Vertex,No
VertexAccessToken,Integer,VertexAccessTokenTime,Integer,Vertex API Access Token Time,,,Yes,Vertex,No
VertexAPIKey,Character,VertexAPIKey,Character,Vertex API Key,,,Yes,Vertex,No
VertexAPIPassword,Character,VertexAPIPassword,Character,Vertex API Password,,,Yes,Vertex,No
VertexClientID,Character,VertexClientID,Character,Vertex Client ID,,,Yes,Vertex,No
VertexClientSecret,Character,VertexClientSecret,Character,Vertex Client Secret,,,Yes,Vertex,No
VertexFreightTaxClass,Character,VertexFreightTaxClass,Character,Vertex Freight Tax Class,Freight,Freight,Yes,Vertex,No
VertexTaxClassDefault,Character,VertexTaxClassDefault,Character,Vertex Tax Class Default,,,Yes,Vertex,No
ZohoClientID,Logical,ZohoCRM,Logical,ZoHo CRM Active,YES|NO,NO,No,ZoHoCRM,No
ZohoClientID,Character,ZohoClientID,Character,ZoHo Client ID,1000.JZ0PMBMAND7RPQ1LZP1QQHPG0KWMLZ,1000.JZ0PMBMAND7RPQ1LZP1QQHPG0KWMLZ,No,ZoHoCRM,No
ZohoClientSecret,Character,ZohoClientSecret,Character,ZoHo Client Secret,a54de56bc72f068a546b25c539f5f0b01858a4ac8b,a54de56bc72f068a546b25c539f5f0b01858a4ac8b,No,ZoHoCRM,No
ZohoRefreshToken,Character,ZohoRefreshToken,Character,ZoHo Refresh Token,1000.9d3c98f80d53e7b27dcef14b80bb3e20.f08610cd5b76f5b3a4ade67f17a6c956,1000.9d3c98f80d53e7b27dcef14b80bb3e20.f08610cd5b76f5b3a4ade67f17a6c956,No,ZoHoCRM,No
ApplyInvoiceApprovals,Logical,InvoiceApproval,Character,Utilize auto approval of invoices,Off|On|On Also During Post,Off,No,InvoiceApproval,No
InvoiceApprovalBillNotes,Logical,InvoiceApprovalBillNotes,Character,Invoice Approval Bill Notes,Off|On|On Also During Post,Off,No,InvoiceApproval,No
InvoiceApprovalExpectZero,Logical,InvoiceApprovalExpectZero,Character,Expected revenue is zero for invoice in total,Off|On|On Also During Post,Off,No,InvoiceApproval,No
InvoiceApprovalFreightAmount,Logical,InvoiceApprovalFreightAmount,Character,"If freight is billable, that freight amount is not zero",Off|On|On Also During Post,Off,No,InvoiceApproval,No
InvoiceApprovalFreightTerms,Logical,InvoiceApprovalFreightTerms,Character,Verify that the freight terms are valid,Off|On|On Also During Post,Off,No,InvoiceApproval,No
InvoiceApprovalInvoiceStatus,Logical,InvoiceApprovalInvoiceStatus,Character,Invoice status is not on Hold,Off|On|On Also During Post,Off,No,InvoiceApproval,No
InvoiceApprovalMiscCharge,Logical,InvoiceApprovalMiscCharge,Character,Do not auto approve if invoice has a misc item,Off|On|On Also During Post,Off,No,InvoiceApproval,No
InvoiceApprovalOrderlineChange,Logical,InvoiceApprovalOrderlineChange,Character,Order line manually overridden,Off|On|On Also During Post,Off,No,InvoiceApproval,No
InvoiceApprovalPriceGTCost,Logical,InvoiceApprovalPriceGTCost,Character,Item Price is greater than the cost of the item,Off|On|On Also During Post,Off,No,InvoiceApproval,No
InvoiceApprovalTaxableCheck,Logical,InvoiceApprovalTaxableCheck,Character,Ship to is taxable and any line is not set as taxable,Off|On|On Also During Post,Off,No,InvoiceApproval,No
InvoiceApprovalTaxCalc,Logical,InvoiceApprovalTaxCalc,Character,Unable to calculate tax,Off|On|On Also During Post,Off,No,InvoiceApproval,No
Notepad,Logical,Notepad,Logical,Notepad instead of Standard Screen Output? Active,YES|NO,NO,Yes,Notepad,No
Notepad,Character,NotepadValue,Character,Notepad instead of Standard Screen Output? Value,|Notepad,,Yes,Notepad,No
