Machine#,Shift,Job#,Form#,SheetsReceivedMSF,#Up,FGReceivedMSF,ScrapMSF,%TotScrap,JobMSF,RecVariance,%Received
10A,4,100515-00,1,2000,16,0,2000,100,0.83333,0.83333,0
407,1,200684-00,1,0,15,458.7814,-458.7814,0,4.725566,-454.055834,9708.496294
407,1,200684-01,1,0,15,0,0,0,4.725566,4.725566,0
408,1,100017-00,1,0,4,24.59249,-24.59249,0,486.98,462.38751,5.05
408,1,100305-00,1,0,4,219.141,-219.141,0,73.047,-146.094,300
408,1,100316-00,1,51.296875,4,277.5786,-226.281725,-441.121852,267.839,-9.7396,103.6363636
408,1,W7030-00,1,0,1,0,0,0,59.8525,59.8525,0
408,1,090305-00,2,0,1,0,0,0,118.316,118.316,0
408,2,100017-00,1,0,4,24.59249,-24.59249,0,486.98,462.38751,5.05
49,1,100017-00,1,0,4,24.59249,-24.59249,0,486.98,462.38751,5.05
